date,bottle_number,nh4_conc_og_umol,nh4_vol_uL,og_vol_L,Nh4 added (umol),Total Volume (L),Final.concentration.umol.L,raw.units,FLU1,FLU2,FLU3,mean.FLU,notes
2019-08-01,D13,200,0,0.04,0,0,0,34.4,0.271,0.505,0.564,0.446666667,
2019-08-01,D5,200,200,0.04,0.04,0.0402,0.995024876,NA,110.3,110.6,111.2,110.7,
2019-08-01,C1,200,500,0.04,0.1,0.0405,2.469135802,NA,239.7,237.7,239.3,238.9,
2019-08-01,E3,200,700,0.04,0.14,0.0407,3.43980344,290.8,299.2,301.1,301.5,300.6,
2019-08-01,E7,200,1000,0.04,0.2,0.041,4.87804878,NA,401.6,400.3,402.4,401.4333333,
2019-08-01,D21,200,1200,0.04,0.24,0.0412,5.825242718,NA,454.5,454,452.3,453.6,
2019-08-01,D9,200,1500,0.04,0.3,0.0415,7.228915663,NA,580,579.3,579.2,579.5,
