date,bottle_number,nh4_conc_og_umol,nh4_vol_uL,og_vol_L,Nh4 added (umol),Total Volume (L),Final.concentration.umol.L,raw.units,FLU1,FLU2,FLU3,mean.FLU,notes
26/07/2019,D20,200,0,0.04,0,0,0,36,9.125,9.812,9.036,9.324333333,
26/07/2019,D21,200,200,0.04,0.04,0.0402,0.995024876,NA,186.1,189.7,187.7,187.8333333,
26/07/2019,E2,200,500,0.04,0.1,0.0405,2.469135802,NA,240.9,244.3,241.6,242.2666667,
26/07/2019,E3,200,700,0.04,0.14,0.0407,3.43980344,257.5,300.3,302,299.6,300.6333333,
26/07/2019,C1,200,1000,0.04,0.2,0.041,4.87804878,NA,385.8,380.2,383.1,383.0333333,
26/07/2019,B27,200,1200,0.04,0.24,0.0412,5.825242718,NA,434.4,436.7,435.7,435.6,
26/07/2019,E7,200,1500,0.04,0.3,0.0415,7.228915663,NA,528.6,530.3,532.8,530.5666667,
