date,patch,cucumber,species,length,girth,substrate,time_0,time_1,distance_1,pellets_1,time_2,distance_2,pellets_2,time_3,distance_3,pellets_3,pellets_collected,total_pellets,pellets_per_hr,total_distance,speed,sizeindex,wet_weight_water,weight_per_pellet,sand_vol_egestion_rate,dry_weight_1,dry_weight_2,ash_weight,AFDW,organic_cont,om_per_g_dry,om_per_g_ash,inorganic_cont,om_rate,,g_per_hr
2019-07-16,Mount pretty,19,dd,24,21,patch,12:06,13:06,0,0,14:06,0,0,15:06,0,0,0,0,0,0,0,22.44994432,,,,,,,,,,,,,,0
2019-07-16,Mount pretty,20,dd,26,21,sand,12:05,13:05,0,0,14:05,0.1,8,15:05,0.4,10,10,18,6,0.5,0.166666667,23.36664289,29.639,0.521111111,1.563333333,9.38,9.093,9.096,0.284,3.02771855,0.322784494,0.332862637,96.97228145,0.107594831,,3.126666666
2019-07-19,PR F4?,21,ft,19,23,patch,11:49,12:49,0,9,13:49,0,9,14:49,0,31,10,49,16.33333333,0,0,20.90454496,19.171,0.042938776,0.128816327,2.104,1.97,1.965,0.139,6.606463878,3.139954315,3.362068131,93.39353612,1.046651438,,0.701333341
2019-07-19,PR F4?,22,ft,23,25,patch,11:43,12:43,0,9,13:43,0,0,14:43,0.1,9,10,18,6,0.1,0.033333333,23.97915762,20.75,0.136166667,0.4085,2.451,2.32,2.316,0.135,5.507955936,2.247228044,2.378219316,94.49204406,0.749076015,,0.817000002
2019-07-19,PR F4?,23,ft,20,20,sand,11:44,12:44,0,0,13:44,0.2,29,14:44,0.2,17,10,46,15.33333333,0.4,0.133333333,20,18.18,0.046673913,0.140021739,2.147,2.032,2.023,0.124,5.775500699,2.690032929,2.854918783,94.2244993,0.896677643,,0.715666666
2019-07-19,PR F4?,24,ft,21,23,sand,11:45,12:45,0,0,13:45,0,15,14:45,0,20,10,35,11.66666667,0,0,21.97726098,14.641,0.062342857,0.187028571,2.182,2.066,2.066,0.116,5.316223648,2.436399472,2.573196345,94.68377635,0.812133157,,0.727333332
2019-07-19,PR F4?,25,dd,24,20,sand,11:48,12:48,0,5,13:48,0.1,5,14:48,0.1,0,10,10,3.333333333,0.2,0.066666667,21.9089023,17.333,0.5893,1.7679,5.893,5.702,5.695,0.198,3.359918547,0.570154174,0.589976918,96.64008145,0.190051391,,1.964333333
2019-07-19,PR F4?,26,dd,25,23,sand,11:46,12:46,0.1,8,13:46,0.1,11,14:46,0.1,8,10,27,9,0.3,0.1,23.97915762,30.358,0.368740741,1.106222222,9.956,9.609,9.593,0.363,3.646042587,0.366215607,0.38007324,96.35395741,0.122071869,,3.318666669
2019-07-19,PR F4?,27,dd,30,24,patch,11:47,12:47,0.1,1,13:47,0.1,0,14:47,0.6,0,1,1,0.333333333,0.8,0.266666667,26.83281573,13.592,0.752,2.256,0.752,0.716,0.708,0.044,5.85106383,7.780669986,8.264214449,94.14893617,2.593556662,,0.250666666
2019-07-19,PR F4?,28,dd,24,23,patch,11:43,12:43,0.15,18,13:43,0.1,12,14:43,0,7,10,37,12.33333333,0.25,0.083333333,23.49468025,28.598,0.317540541,0.952621622,11.749,11.373,11.358,0.391,3.327942804,0.283253281,0.293004297,96.6720572,0.09441776,,3.916333338
2019-07-19,PR F4?,29,dd,18,22,patch,11:45,12:45,0.1,2,13:45,0,5,14:45,0,10,10,17,5.666666667,0.1,0.033333333,19.89974874,34.668,0.718588235,2.155764706,12.216,11.731,11.716,0.5,4.092992796,0.335051801,0.3493507,95.9070072,0.111683934,,4.071999999
2019-07-19,PR F4?,30,dd,25,23,sand,11:35,12:35,0.15,0,13:35,0.3,5,14:35,0.5,12,10,17,5.666666667,0.95,0.316666667,23.97915762,38.42,0.728764706,2.186294118,12.389,11.98,11.972,0.417,3.365889095,0.271683679,0.281146767,96.6341109,0.090561226,,4.129666668
2019-07-19,PR F4?,31,dd,18,26,sand,11:37,12:37,0.1,2,13:37,0,7,14:37,0,6,6,15,5,0.1,0.033333333,21.63330765,33.01,0.512933333,1.5388,7.694,7.415,7.414,0.28,3.639199376,0.472991861,0.490855055,96.36080062,0.157663954,,2.564666665
2019-07-19,PR F4?,32,ft,20,24,sand,11:39,12:39,0.15,0,13:39,0.35,20,14:39,0,9,10,29,9.666666667,0.5,0.166666667,21.9089023,14.378,0.111172414,0.333517241,3.224,3.046,3.043,0.181,5.614143921,1.741359777,1.844937207,94.38585608,0.580453259,,1.074666669
2019-07-19,PR F4?,33,ft,23,23,sand,11:40,12:40,0.55,149,13:40,0.4,126,14:40,0.3,20,10,295,98.33333333,1.25,0.416666667,23,26.711,0.008783051,0.026349153,2.591,2.484,2.48,0.111,4.284060208,1.653438907,1.727443632,95.71593979,0.551146302,,0.863666682
2019-07-19,PR F4?,34,ft,23,26,patch,11:41,12:41,0.2,18,13:41,0.05,48,14:41,0.1,0,10,66,22,0.35,0.116666667,24.45403852,22.84,0.041181818,0.123545455,2.718,2.598,2.596,0.122,4.488594555,1.651432875,1.729042587,95.51140545,0.550477625,,0.905999996
2019-07-19,PR F4?,35,ft,21,23,sand,11:33,12:33,0,16,13:33,0,0,14:33,0,6,10,22,7.333333333,0,0,21.97726098,26.844,0.101772727,0.305318182,2.239,2.122,2.128,0.111,4.957570344,2.214189524,2.329685312,95.04242966,0.738063175,,0.746333331
2019-07-19,PR F4?,36,ft,20,24,sand,11:35,12:35,0,0,13:35,0,0,14:35,0,16,10,16,5.333333333,0,0,21.9089023,23.013,0.1528125,0.4584375,2.445,2.315,2.308,0.137,5.603271984,2.291726783,2.427760825,94.39672802,0.763908928,,0.815
2019-07-19,PR F4?,37,ft,16,21,patch,11:41,12:41,0,12,13:41,0,0,14:41,0,26,10,38,12.66666667,0,0,18.33030278,26.694,0.043078947,0.129236842,1.637,1.537,1.536,0.101,6.169822847,3.76898158,4.016811749,93.83017715,1.256327193,,0.545666662
2019-07-19,PR F4?,38,dd,25,19,patch,11:39,12:39,0.1,0,13:39,0.2,0,14:39,0,13,10,13,4.333333333,0.3,0.1,21.79449472,32.555,0.419692308,1.259076923,5.456,5.244,5.246,0.21,3.848973607,0.705457039,0.733696837,96.15102639,0.235152346,,1.818666668
2019-07-19,PR F4?,39,dd,24,22,patch,11:43,12:43,1.3,2,13:43,0.3,0,14:43,0.1,8,10,10,3.333333333,1.7,0.566666667,22.97825059,29.366,0.6202,1.8606,6.202,6.003,5.993,0.209,3.369880684,0.543353867,0.562302801,96.63011932,0.181117956,,2.067333333
2019-07-19,PR F4?,40,dd,21,21,sand,11:38,12:38,0,7,13:38,1.1,0,14:38,0.5,0,10,7,2.333333333,1.6,0.533333333,21,31.505,1.180571429,3.541714286,8.264,8.02,8.018,0.246,2.976766699,0.360208942,0.371260501,97.0232333,0.120069647,,2.754666667
